index,Overlap Pen. Energy
55,-0.0014274136
73,-0.0
33,-0.0010088836
446,-0.000667495
425,-0.0002021459
229,-0.0004340328
210,-0.0001295685
9,-0.0011559101
352,-0.0002381331
70,-0.0001765743
78,-0.0141390562
442,-0.0005887514
408,-0.0002910508
429,-0.0006436349
457,-0.0037994808
418,-0.0007315442
157,-4.525e-06
93,-0.0174443377
426,-0.0009658793
77,-0.017517723
0,-0.0021016063
466,-0.000300574
11,-0.0006559732
247,-8.9958e-06
76,-0.0
208,-0.0002712739
440,-0.0016039484
75,-0.0151231868
30,-0.001207241
180,-0.0013812452
113,-0.0070186892
238,-0.0054772552
101,-0.001903113
406,-0.0001977605
18,-0.0010585218
39,-0.0005374679
386,-0.0001798957
465,-0.000132018
301,-0.0042818196
140,-1.8e-09
284,-0.0047654
248,-1.656e-07
154,-0.0001469359
173,-0.0010006555
331,-0.0007884543
117,-0.0001856844
297,-5.3837e-06
72,-0.0014674476
90,-6.1e-09
124,-0.0136665682
415,-0.0001388569
277,-0.0124942743
196,-0.0003916121
412,-0.0007163726
218,-7.0174e-06
132,-0.0009189194
79,-0.0084894059
434,-8.12948e-05
63,-0.0010770668
148,-0.0031002642
296,-8.03697e-05
302,-0.0012777809
462,-0.001469984
175,-0.0008217643
82,-0.0033530178
304,-8.912e-07
231,-0.0006978736
455,-0.0001046791
220,-1.7617e-06
362,-0.0002186471
447,-0.0016649935
15,-0.002037934
153,-0.000307441
364,-0.0002479165
19,-0.0006959505
384,-0.0011358026
312,-0.0019211689
56,-0.0009686202
203,-0.0040399605
393,-0.0008481324
311,-0.0023030786
271,-0.0014292838
298,-1.417e-07
400,-0.0007660035
25,-0.0009748762
402,-0.0002399725
382,-0.0001954079
155,-7.17739e-05
42,-0.0010995734
444,-0.0004271476
137,-5.87e-06
131,-0.0013396323
398,-0.0007195633
321,-0.0011852513
414,-0.0014021963
305,-7.1e-09
22,-0.0009479038
307,-0.0012665157
46,-0.0002785816
461,-0.0010544979
126,-0.0078646352
290,-0.0120293556
371,-0.0003683946
57,-0.0014257117
176,-0.0007834197
451,-0.0005755149
394,-0.0004500572
24,-0.0010202854
17,-0.0011355824
66,-0.0006229634
181,-0.0011524114
86,-6.96074e-05
31,-0.0010375235
84,-0.0005860113
323,-0.0006726637
262,-0.0058064501
199,-0.0007559577
449,-0.0003724367
