File,Errors = |SAPT - Undamped|
ACHC-AC-3.2_____,0.007811016134
ACHC-AC-3.6_____,0.001345053082
ACHC-AC-3.8_____,0.00030481435000000005
ACHC-AC-4.0_____,0.0001654507739998998
ACHC-AC-3.4___30__,0.0036146803539999998
ACHC-AC-3.4___60__,0.0049802373939999995
ACHC-AC-3.4___90__,0.005614769202
ACHC-AC-3.4___120__,0.0057762921040001
ACHC-AC-3.4___150__,0.005624405914
ACHC-AC-3.4___180__,0.0060049011379999994
ACHC-AC-3.4_n1.6____,0.005138893531999991
ACHC-AC-3.4_n1.2____,0.004853576819999993
ACHC-AC-3.4_n0.4____,0.0035284339100000997
ACHC-AC-3.4_0.4____,0.0040506806679999
ACHC-AC-3.4_0.8____,0.0046483629499999
ACHC-AC-3.4_1.2____,0.0047621946619999
ACHC-AC-3.4_2.0____,0.003421416964
ACHC-AC-3.4__n1.2___,0.0029385713880000002
ACHC-AC-3.4__n0.8___,0.002953721034
ACHC-AC-3.4__n0.4___,0.003233361158
ACHC-AC-3.4__0.4___,0.0034462456979999995
ACHC-AC-3.4__0.8___,0.0031167021799999
ACHC-AC-3.4__1.2___,0.0029217880399999997
ACHC-AC-3.4__2.0___,0.0036288150900001
ACHC-AC-3.6____n20_,0.0072950437
ACHC-AC-3.6____n12_,0.0033718336940001
ACHC-AC-3.6____4_,0.001176716316
ACHC-AC-3.6_____n20,0.005165031024000099
ACHC-AC-3.6_____n16,0.0036351872540001003
ACHC-AC-3.6_____n12,0.0025785018199999
ACHC-AC-3.6_____n8,0.0018831081300000998
ACHC-AC-3.6_____n4,0.001483552352
ACHC-AC-3.6_____4,0.0014537737960000998
ACHC-AC-3.6_____12,0.005661094433999999
