File,SAPT Coulomb
UBQ-ala28-asp32,-11.7248
UBQ-ala46-lys48,-24.2119
UBQ-arg42-val70,-21.2677
UBQ-asn25-lys29,-10.2528
UBQ-asp21-leu56,-9.2462
UBQ-gln2-glu64-small,-11.9284
UBQ-gln31-gly35,-12.6573
UBQ-gln40-arg72,-15.1020
UBQ-gln41-arg72,-11.3788
UBQ-gln62-ser65,-28.0651
UBQ-glu16-lys29,-23.6167
UBQ-glu18-asp21-C,-11.3551
UBQ-glu18-asp21-N,-13.3323
UBQ-glu24-ala28,-7.6454
UBQ-glu24-asp52,-11.4119
UBQ-glu51-arg54,-49.0845
UBQ-glu51-tyr59,-7.1708
UBQ-ile13-leu15,-0.3948
UBQ-ile13-lys33,-1.3968
UBQ-ile23-arg54,-10.9911
UBQ-ile23-leu50,-0.7202
UBQ-ile23-leu56,-0.6154
UBQ-ile23-lys27,-9.1942
UBQ-ile3-leu15-big,-13.2646
UBQ-ile3-leu15-part1,-8.7290
UBQ-ile3-leu15-part2,-8.5937
UBQ-ile3-leu15,-0.4229
UBQ-ile3-leu67,-0.4147
UBQ-ile3-val17,-0.6497
UBQ-ile30-glu34,-10.6798
UBQ-ile30-leu43,-0.3023
UBQ-ile36-gln41,-8.4861
UBQ-ile36-leu69,-0.2999
UBQ-ile36-leu71,-0.8897
UBQ-ile44-gly47,-0.3886
UBQ-ile44-his68-big,-0.5677
UBQ-ile44-his68-small,-0.5516
UBQ-ile44-his68,-25.5115
UBQ-ile61-leu67,-0.5310
UBQ-leu15-ile30,-0.4560
UBQ-leu15-val26,-0.3602
UBQ-leu43-leu50,-12.1545
UBQ-leu43-leu69,-0.4344
UBQ-leu50-ile61,-0.2081
UBQ-leu50-tyr59,-1.2697
UBQ-leu56-ile61np,-0.9028
UBQ-leu56-ile61p,-5.1228
UBQ-leu56-tyr59,-4.7242
UBQ-leu69-leu71,-0.5102
UBQ-leu71-leu73,-0.3149
UBQ-lys11-glu34,-95.6878
UBQ-lys27-asp52,-105.3789
UBQ-lys27-gln31,-9.2986
UBQ-lys27-leu43-nonh3,-0.3533
UBQ-lys27-leu43,0.1407
UBQ-lys29-lys33,-9.7287
UBQ-lys6-thr66,-0.2149
UBQ-met1-ile3,-0.4614
UBQ-met1-lys63,-3.2075
UBQ-met1-val17-bi,-31.5827
UBQ-met1-val17-mono,-11.7346
UBQ-met1-val17,-0.3404
UBQ-phe4-leu67,-12.3241
UBQ-phe4-ser65,-11.5522
UBQ-phe4-thr12,-0.5898
UBQ-phe4-thr14,-1.0980
UBQ-phe45-ala46,-0.3407
UBQ-phe45-ile61,-1.3694
UBQ-phe45-leu67,-0.5102
UBQ-phe45-lys48,-16.8229
UBQ-pro19-ser57,-11.0448
UBQ-pro37-gln40,-8.6466
UBQ-ser57-asn60,-10.7975
UBQ-thr14-lys33,-13.5642
UBQ-thr22-asn25,-5.8638
UBQ-thr22-thr55-big,-28.3087
UBQ-thr22-thr55-small,0.0132
UBQ-thr22-val26,-7.7691
UBQ-thr55-asp58-backbone,-5.1253
UBQ-thr55-asp58-sidechain-small,-19.2450
UBQ-thr55-asp58-sidechain,-14.8812
UBQ-thr7-gly10,-5.0323
UBQ-thr7-ile13,-0.0568
UBQ-thr7-lys11,-10.2814
UBQ-thr7-thr9-v2,-0.8037
UBQ-thr7-thr9,-4.1104
UBQ-tyr59-ile61,-0.4914
UBQ-val17-leu56,-0.7235
UBQ-val26-ile30,-9.0470
UBQ-val26-leu43,-0.1397
UBQ-val26-leu56,-0.8839
UBQ-val5-ile13,-26.3890
UBQ-val5-leu15,-0.8344
UBQ-val5-leu69,-0.6049
